year,sex,name,count,rank
1996,M,SR Tendulkar (IND),1611,1
1996,M,Saeed Anwar (PAK),1595,2
1996,M,G Kirsten (SA),1442,3
1996,M,Ijaz Ahmed (PAK),1281,4
1996,M,PA de Silva (SL),1188,5
1996,M,Aamer Sohail (PAK),1090,6
1996,M,ME Waugh (AUS),1059,7
1996,M,DJ Cullinan (SA),1034,8
1996,M,ST Jayasuriya (SL),955,9
1996,M,AC Hudson (SA),950,10
1996,M,WJ Cronje (SA),933,11
1996,M,M Azharuddin (IND),931,12
1996,M,Saleem Malik (PAK),904,13
1996,M,MA Taylor (AUS),792,14
1996,M,A Jadeja (IND),789,15
1996,M,SR Waugh (AUS),777,16
1996,M,MG Bevan (AUS),760,17
1996,M,AP Gurusinha (SL),746,18
1996,M,RT Ponting (AUS),733,19
1997,M,SC Ganguly (IND),1338,1
1997,M,PA de Silva (SL),1212,2
1997,M,ST Jayasuriya (SL),1178,3
1997,M,Ijaz Ahmed (PAK),1104,4
1997,M,M Azharuddin (IND),1104,5
1997,M,SR Tendulkar (IND),1011,6
1997,M,R Dravid (IND),951,7
1997,M,A Jadeja (IND),937,8
1997,M,Inzamam-ul-Haq (PAK),891,9
1997,M,Saeed Anwar (PAK),886,10
1997,M,MS Atapattu (SL),879,11
1997,M,Shahid Afridi (PAK),867,12
1997,M,GW Flower (ZIM),843,13
1997,M,A Ranatunga (SL),815,14
1997,M,DJ Cullinan (SA),810,15
1997,M,WJ Cronje (SA),771,16
1997,M,A Flower (ZIM),766,17
1997,M,BC Lara (WI),755,18
1997,M,MG Bevan (AUS),728,19
1997,M,RS Mahanama (SL),714,20
1998,M,SR Tendulkar (IND),1894,1
1998,M,SC Ganguly (IND),1328,2
1998,M,M Azharuddin (IND),1268,3
1998,M,RT Ponting (AUS),1166,4
1998,M,A Jadeja (IND),1004,5
1998,M,MG Bevan (AUS),959,6
1998,M,GW Flower (ZIM),928,7
1998,M,NJ Astle (NZ),891,8
1998,M,Saeed Anwar (PAK),831,9
1998,M,AC Gilchrist (AUS),831,10
1998,M,JH Kallis (SA),812,11
1998,M,SP Fleming (NZ),806,12
1998,M,ADR Campbell (ZIM),805,13
1998,M,Ijaz Ahmed (PAK),799,14
1998,M,A Ranatunga (SL),796,15
1998,M,A Flower (ZIM),772,16
1998,M,ME Waugh (AUS),757,17
1998,M,MS Atapattu (SL),744,18
1998,M,MW Goodwin (ZIM),722,19
1998,M,PA de Silva (SL),694,20
1998,M,WJ Cronje (SA),691,21
1999,M,SC Ganguly (IND),1767,1
1999,M,R Dravid (IND),1761,2
1999,M,ME Waugh (AUS),1468,3
1999,M,AC Gilchrist (AUS),1241,4
1999,M,A Jadeja (IND),1144,5
1999,M,Inzamam-ul-Haq (PAK),1106,6
1999,M,RT Ponting (AUS),1038,7
1999,M,S Chanderpaul (WI),960,8
1999,M,MG Bevan (AUS),949,9
1999,M,JH Kallis (SA),944,10
1999,M,Saeed Anwar (PAK),912,11
1999,M,RS Kaluwitharana (SL),882,12
1999,M,L Klusener (SA),854,13
1999,M,A Flower (ZIM),852,14
1999,M,SR Tendulkar (IND),843,15
1999,M,RG Twose (NZ),823,16
1999,M,DS Lehmann (AUS),821,17
1999,M,HH Gibbs (SA),805,18
1999,M,GA Hick (ENG),794,19
1999,M,MS Atapattu (SL),787,20
2000,M,SC Ganguly (IND),1579,1
2000,M,G Kirsten (SA),1467,2
2000,M,SR Tendulkar (IND),1328,3
2000,M,JH Kallis (SA),1300,4
2000,M,Yousuf Youhana (PAK),1161,5
2000,M,Inzamam-ul-Haq (PAK),1074,6
2000,M,RG Twose (NZ),1067,7
2000,M,R Dravid (IND),980,8
2000,M,ADR Campbell (ZIM),960,9
2000,M,A Flower (ZIM),943,10
2000,M,MS Atapattu (SL),942,11
2000,M,ST Jayasuriya (SL),910,12
2000,M,MG Bevan (AUS),881,13
2000,M,Saeed Anwar (PAK),874,14
2000,M,NJ Astle (NZ),845,15
2000,M,L Klusener (SA),817,16
2000,M,AC Gilchrist (AUS),726,17
2000,M,Imran Nazir (PAK),701,18
2000,M,SV Carlisle (ZIM),686,19
2000,M,Abdul Razzaq (PAK),661,20
2001,M,DPMD Jayawardene (SL),1260,1
2001,M,ST Jayasuriya (SL),1202,2
2001,M,GW Flower (ZIM),1116,3
2001,M,MS Atapattu (SL),1084,4
2001,M,SV Carlisle (ZIM),1082,5
2001,M,A Flower (ZIM),1060,6
2001,M,SR Tendulkar (IND),904,7
2001,M,RP Arnold (SL),851,8
2001,M,JH Kallis (SA),848,9
2001,M,HH Gibbs (SA),846,10
2001,M,ADR Campbell (ZIM),837,11
2001,M,RT Ponting (AUS),828,12
2001,M,SC Ganguly (IND),813,13
2001,M,ME Waugh (AUS),809,14
2001,M,AC Gilchrist (AUS),746,15
2001,M,R Dravid (IND),740,16
2001,M,NJ Astle (NZ),735,17
2001,M,BC Lara (WI),732,18
2001,M,CH Gayle (WI),722,19
2001,M,Saeed Anwar (PAK),711,20
2002,M,Yousuf Youhana (PAK),1362,1
2002,M,HH Gibbs (SA),1310,2
2002,M,JH Kallis (SA),1204,3
2002,M,MS Atapattu (SL),1192,4
2002,M,Younis Khan (PAK),1173,5
2002,M,V Sehwag (IND),1130,6
2002,M,SC Ganguly (IND),1114,7
2002,M,CH Gayle (WI),1097,8
2002,M,ST Jayasuriya (SL),1077,9
2002,M,JN Rhodes (SA),1066,10
2002,M,ME Trescothick (ENG),950,11
2002,M,R Dravid (IND),913,12
2002,M,RT Ponting (AUS),882,13
2002,M,RR Sarwan (WI),878,14
2002,M,ML Hayden (AUS),878,15
2002,M,HH Dippenaar (SA),875,16
2002,M,NV Knight (ENG),852,17
2002,M,CD McMillan (NZ),851,18
2002,M,AC Gilchrist (AUS),836,19
2002,M,KC Sangakkara (SL),829,20
2003,M,Yousuf Youhana (PAK),1168,1
2003,M,RT Ponting (AUS),1154,2
2003,M,SR Tendulkar (IND),1141,3
2003,M,AC Gilchrist (AUS),1098,4
2003,M,ML Hayden (AUS),1037,5
2003,M,CH Gayle (WI),981,6
2003,M,Yasir Hameed (PAK),898,7
2003,M,BC Lara (WI),888,8
2003,M,DR Martyn (AUS),878,9
2003,M,V Sehwag (IND),871,10
2003,M,ME Trescothick (ENG),867,11
2003,M,ST Jayasuriya (SL),860,12
2003,M,MS Atapattu (SL),812,13
2003,M,MG Bevan (AUS),784,14
2003,M,SC Ganguly (IND),756,15
2003,M,A Symonds (AUS),734,16
2003,M,KC Sangakkara (SL),695,17
2003,M,HH Gibbs (SA),693,18
2003,M,WW Hinds (WI),687,19
2003,M,Younis Khan (PAK),685,20
2004,M,R Dravid (IND),1025,1
2004,M,KC Sangakkara (SL),1010,2
2004,M,SC Ganguly (IND),947,3
2004,M,ML Hayden (AUS),946,4
2004,M,SP Fleming (NZ),921,5
