year,sex,name,count,rank
1996,M,South Africa,25,1
1996,M,Sri Lanka,20,2
1996,M,Pakistan,23,3
1996,M,India,13,4
1996,M,Australia,13,5
1996,M,West Indies,10,6
1996,M,England,7,7
1996,M,New Zealand,9,8
1996,M,Zimbabwe,3,9
1996,M,Kenya,1,10
1996,M,United Arab Emirates,1,11
1996,M,Netherlands,0,12
1997,M,South Africa,17,1
1997,M,Sri Lanka,19,2
1997,M,England,9,3
1997,M,Australia,7,4
1997,M,Zimbabwe,12,5
1997,M,New Zealand,6,6
1997,M,Pakistan,15,7
1997,M,West Indies,10,8
1997,M,India,10,9
1997,M,Kenya,2,10
1997,M,Bangladesh,0,11
1998,M,South Africa,17,1
1998,M,India,24,2
1998,M,Australia,15,3
1998,M,Sri Lanka,11,4
1998,M,West Indies,6,5
1998,M,Pakistan,12,6
1998,M,New Zealand,9,7
1998,M,England,3,8
1998,M,Zimbabwe,6,9
1998,M,Kenya,2,10
1998,M,Bangladesh,1,11
1999,M,Australia,26,1
1999,M,Pakistan,21,2
1999,M,South Africa,18,3
1999,M,India,21,4
1999,M,West Indies,14,5
1999,M,New Zealand,10,6
1999,M,Sri Lanka,12,7
1999,M,England,9,8
1999,M,Zimbabwe,10,9
1999,M,Bangladesh,2,10
1999,M,Kenya,2,11
1999,M,Scotland,0,12
2000,M,South Africa,25,1
2000,M,Sri Lanka,16,2
2000,M,Australia,15,3
2000,M,Pakistan,20,4
2000,M,India,15,5
2000,M,New Zealand,10,6
2000,M,England,11,7
2000,M,Zimbabwe,9,8
2000,M,West Indies,6,9
2000,M,Kenya,0,10
2000,M,Bangladesh,0,11
2001,M,Australia,18,1
2001,M,South Africa,17,2
2001,M,Sri Lanka,22,3
2001,M,Pakistan,14,4
2001,M,India,12,5
2001,M,West Indies,13,6
2001,M,New Zealand,8,7
2001,M,Zimbabwe,10,8
2001,M,Kenya,1,9
2001,M,England,5,10
2001,M,Bangladesh,0,11
2002,M,Australia,19,1
2002,M,South Africa,22,2
2002,M,Pakistan,23,3
2002,M,India,19,4
2002,M,Sri Lanka,15,5
2002,M,New Zealand,12,6
2002,M,West Indies,12,7
2002,M,England,11,8
2002,M,Zimbabwe,4,9
2002,M,Netherlands,0,10
2002,M,Kenya,0,11
2002,M,Bangladesh,0,12
2003,M,Australia,30,1
2003,M,West Indies,10,2
2003,M,Sri Lanka,13,3
2003,M,India,16,4
2003,M,Pakistan,21,5
2003,M,New Zealand,12,6
2003,M,South Africa,13,7
2003,M,England,13,8
2003,M,Zimbabwe,7,9
2003,M,Kenya,4,10
2003,M,Netherlands,1,11
2003,M,Canada,1,12
2003,M,Namibia,0,13
2003,M,Bangladesh,0,14
2004,M,New Zealand,19,1
2004,M,Australia,19,2
2004,M,Sri Lanka,20,3
2004,M,Pakistan,15,4
2004,M,England,12,5
2004,M,West Indies,12,6
2004,M,India,15,7
2004,M,South Africa,5,8
2004,M,Bangladesh,3,9
2004,M,Zimbabwe,2,10
2004,M,United States of America,0,11
2004,M,Kenya,0,12
2004,M,Hong Kong,0,13
2004,M,United Arab Emirates,0,14
2005,M,South Africa,18,1
2005,M,Australia,21,2
2005,M,India,15,3
2005,M,Pakistan,13,4
2005,M,England,8,5
2005,M,Sri Lanka,8,6
2005,M,New Zealand,6,7
2005,M,Bangladesh,4,8
2005,M,West Indies,2,9
2005,M,Zimbabwe,2,10
2005,M,Africa XI,1,11
2005,M,Asia XI,1,12
2005,M,ICC World XI,1,13
2006,M,Australia,20,1
2006,M,South Africa,15,2
2006,M,Sri Lanka,19,3
2006,M,West Indies,18,4
2006,M,New Zealand,9,5
2006,M,Pakistan,11,6
2006,M,India,13,7
2006,M,England,5,8
2006,M,Bangladesh,18,9
2006,M,Zimbabwe,8,10
2006,M,Kenya,7,11
2006,M,Bermuda,4,12
2006,M,Netherlands,3,13
2006,M,Ireland,1,14
2006,M,Canada,2,15
2006,M,Scotland,1,16
2007,M,Australia,24,1
2007,M,England,18,2
2007,M,India,20,3
2007,M,New Zealand,17,4
2007,M,South Africa,19,5
2007,M,Sri Lanka,16,6
2007,M,Pakistan,8,7
2007,M,West Indies,12,8
2007,M,Asia XI,3,9
2007,M,Bangladesh,8,10
2007,M,Ireland,5,11
2007,M,Kenya,13,12
2007,M,Zimbabwe,2,13
2007,M,Scotland,6,14
2007,M,Netherlands,7,15
2007,M,Canada,4,16
2007,M,Bermuda,1,17
2007,M,Africa XI,0,18
2008,M,India,18,1
2008,M,Australia,13,2
2008,M,Pakistan,18,3
2008,M,Sri Lanka,14,4
2008,M,New Zealand,10,5
2008,M,England,7,6
2008,M,South Africa,12,7
2008,M,West Indies,5,8
2008,M,Bangladesh,5,9
2008,M,Ireland,4,10
2008,M,Scotland,2,11
2008,M,Netherlands,2,12
2008,M,Bermuda,2,13
2008,M,Canada,2,14
2008,M,Zimbabwe,1,15
2008,M,Kenya,1,16
2008,M,Hong Kong,0,17
2008,M,United Arab Emirates,0,18
2009,M,Australia,23,1
2009,M,India,17,2
2009,M,South Africa,11,3
2009,M,Netherlands,5,4
2009,M,Sri Lanka,12,5
2009,M,England,11,6
2009,M,New Zealand,10,7
2009,M,Bangladesh,14,8
2009,M,Pakistan,8,9
2009,M,Afghanistan,2,10
2009,M,Zimbabwe,13,11
2009,M,West Indies,4,12
2009,M,Ireland,7,13
2009,M,Kenya,2,14
2009,M,Canada,3,15
2009,M,Scotland,1,16
2009,M,Bermuda,0,17
2010,M,Sri Lanka,15,1
2010,M,India,17,2
2010,M,Australia,16,3
2010,M,South Africa,12,4
2010,M,England,12,5
2010,M,Zimbabwe,7,6
2010,M,Pakistan,5,7
2010,M,New Zealand,6,8
2010,M,Bangladesh,9,9
2010,M,West Indies,6,10
2010,M,Ireland,11,11
2010,M,Netherlands,5,12
2010,M,Afghanistan,7,13
2010,M,Canada,4,14
2010,M,Scotland,5,15
2010,M,Kenya,3,16
2011,M,Pakistan,24,1
2011,M,India,21,2
2011,M,Australia,18,3
2011,M,Sri Lanka,14,4
2011,M,England,11,5
2011,M,South Africa,9,6
2011,M,New Zealand,9,7
2011,M,West Indies,10,8
2011,M,Bangladesh,6,9
2011,M,Zimbabwe,6,10
2011,M,Afghanistan,2,11
2011,M,Ireland,4,12
2011,M,Scotland,3,13
2011,M,Netherlands,2,14
2011,M,Canada,1,15
2011,M,Kenya,0,16
2012,M,England,12,1
2012,M,South Africa,8,2
2012,M,Sri Lanka,14,3
2012,M,India,9,4
2012,M,Australia,11,5
2012,M,Pakistan,7,6
2012,M,Bangladesh,5,7
2012,M,West Indies,8,8
2012,M,Ireland,2,9
2012,M,Kenya,1,10
2012,M,Scotland,1,11
2012,M,New Zealand,4,12
2012,M,Netherlands,1,13
2012,M,Afghanistan,1,14
